Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy,log_GDP_per_capita,log_Population_mln,log_Adult_mortality
Bosnia and Herzegovina,Rest of Europe,2001.0,8.4,9.6,118.2535,4.11,92.0,86.0,25.0,92.0,91.0,0.08,2913.0,3.76,3.2,3.2,7.1,0.0,1.0,74.6,7.976938756959434,1.324418957401803,4.7728306252426895
Bosnia and Herzegovina,Rest of Europe,2002.0,8.2,9.3,115.273,4.08,92.0,90.0,25.0,86.0,80.0,0.08,3057.0,3.76,3.1,3.1,7.2,0.0,1.0,74.8,8.025189321890835,1.324418957401803,4.747303228126601
Bosnia and Herzegovina,Rest of Europe,2003.0,8.1,9.2,113.603,4.29,92.0,85.0,25.0,87.0,87.0,0.08,3172.0,3.76,3.0,3.0,7.2,0.0,1.0,74.9,8.06211758275474,1.324418957401803,4.7327099143890585
Bosnia and Herzegovina,Rest of Europe,2004.0,7.9,9.1,111.9335,4.38,92.0,88.0,25.0,87.0,84.0,0.08,3371.0,3.76,3.0,3.0,7.3,0.0,1.0,75.1,8.12296471523406,1.324418957401803,4.717904944955759
Bosnia and Herzegovina,Rest of Europe,2005.0,7.8,8.9,110.264,4.5,93.0,90.0,25.0,95.0,93.0,0.08,3502.0,3.77,2.9,2.9,7.4,0.0,1.0,75.2,8.161089512845797,1.3270750014599193,4.7028774903921375
Bosnia and Herzegovina,Rest of Europe,2006.0,7.5,8.6,108.5945,4.72,90.0,93.0,25.0,91.0,87.0,0.08,3691.0,3.77,2.9,2.8,7.4,0.0,1.0,75.3,8.213652703029998,1.3270750014599193,4.687620761650137
Bosnia and Herzegovina,Rest of Europe,2007.0,7.2,8.3,106.9245,5.03,94.0,95.0,25.0,95.0,95.0,0.08,3910.0,3.76,2.8,2.8,7.5,0.0,1.0,75.5,8.271292652979412,1.324418957401803,4.67212297792715
Bosnia and Herzegovina,Rest of Europe,2008.0,6.9,7.9,105.6105,5.03,88.0,92.0,25.0,92.0,91.0,0.08,4132.0,3.75,2.8,2.7,7.6,0.0,1.0,75.7,8.326516830239528,1.3217558399823195,4.659757798147328
Bosnia and Herzegovina,Rest of Europe,2009.0,6.6,7.5,104.296,4.69,90.0,88.0,25.0,90.0,90.0,0.08,4028.0,3.74,2.7,2.7,7.7,0.0,1.0,75.8,8.301025253838453,1.3190856114264407,4.647233010360478
Bosnia and Herzegovina,Rest of Europe,2010.0,6.3,7.2,102.9815,4.57,89.0,91.0,25.0,90.0,89.0,0.08,4096.0,3.71,2.6,2.6,7.1,0.0,1.0,76.0,8.317766166719343,1.3110318766193438,4.634549360447046
Bosnia and Herzegovina,Rest of Europe,2011.0,6.0,6.9,101.667,4.71,88.0,88.0,25.0,89.0,88.0,0.08,4185.0,3.66,2.6,2.5,7.2,0.0,1.0,76.2,8.339261982923576,1.297463147413275,4.621702766622452
Bosnia and Herzegovina,Rest of Europe,2012.0,5.8,6.7,100.353,4.83,92.0,94.0,26.0,87.0,92.0,0.08,4216.0,3.6,2.5,2.5,8.3,0.0,1.0,76.4,8.346642090221199,1.2809338454620642,4.608693970161708
Bosnia and Herzegovina,Rest of Europe,2013.0,5.6,6.5,98.9245,4.69,91.0,93.0,26.0,87.0,89.0,0.08,4391.0,3.54,2.4,2.4,8.7,0.0,1.0,76.6,8.387312270561717,1.264126727145683,4.594356932924623
Bosnia and Herzegovina,Rest of Europe,2014.0,5.5,6.4,97.4955,4.69,89.0,92.0,26.0,86.0,86.0,0.08,4518.0,3.48,2.4,2.4,9.2,0.0,1.0,76.7,8.415824697027949,1.247032293786383,4.579806223092526
Bosnia and Herzegovina,Rest of Europe,2015.0,5.4,6.3,96.067,4.9,82.0,88.0,26.0,74.0,82.0,0.08,4730.0,3.43,2.3,2.3,9.0,0.0,1.0,76.9,8.46168048148598,1.2325602611778486,4.565045864703922
Botswana,Africa,2000.0,45.2,80.5,561.532,5.38,86.0,83.0,24.0,97.0,97.0,19.66,4569.0,1.64,12.3,12.2,7.6,0.0,1.0,50.6,8.427049641563272,0.494696241836107,6.3306687627594265
Botswana,Africa,2001.0,44.6,80.0,574.7605,5.5,87.0,83.0,24.0,97.0,97.0,17.96,4495.0,1.67,11.8,11.8,7.7,0.0,1.0,50.3,8.410720946905721,0.5128236264286637,6.353953432288946
Botswana,Africa,2002.0,43.9,78.3,587.989,6.43,88.0,83.0,24.0,97.0,97.0,16.5,4684.0,1.7,11.4,11.3,7.9,0.0,1.0,50.2,8.451907724717607,0.5306282510621704,6.376708240240647
Botswana,Africa,2003.0,43.1,76.1,558.1195,5.63,90.0,83.0,24.0,96.0,96.0,14.94,4817.0,1.73,1.9,1.8,8.0,0.0,1.0,50.5,8.479906606630221,0.5481214085096876,6.3245730971589165
Botswana,Africa,2004.0,42.1,72.7,528.2495,4.91,91.0,83.0,24.0,96.0,96.0,13.43,4860.0,1.77,1.5,1.4,8.1,0.0,1.0,51.2,8.48879371689454,0.5709795465857378,6.269568709974185
Botswana,Africa,2005.0,38.9,67.0,498.38,6.38,92.0,83.0,24.0,96.0,96.0,11.63,4986.0,1.8,1.0,9.9,8.3,0.0,1.0,52.1,8.514389264083503,0.5877866649021191,6.211362838257163
Botswana,Africa,2006.0,38.1,61.5,468.51,7.14,93.0,83.0,24.0,96.0,96.0,10.53,5295.0,1.84,9.6,9.4,8.4,0.0,1.0,53.4,8.574518258035507,0.6097655716208943,6.149557446167864
Botswana,Africa,2007.0,39.5,58.6,438.6405,6.87,93.0,83.0,24.0,96.0,96.0,9.57,5612.0,1.88,9.2,9.0,8.5,0.0,1.0,55.0,8.632662441222351,0.6312717768418578,6.083680170982067
Botswana,Africa,2008.0,40.3,57.6,413.0785,7.52,94.0,83.0,24.0,96.0,96.0,9.09,5838.0,1.92,8.8,8.6,8.6,0.0,1.0,56.7,8.67214355141406,0.6523251860396901,6.0236376475387425
Botswana,Africa,2009.0,40.1,55.3,387.5165,5.36,94.0,83.0,24.0,96.0,96.0,8.27,5287.0,1.95,8.4,8.2,8.8,0.0,1.0,58.4,8.57300625623545,0.6678293725756554,5.959758428532033
Botswana,Africa,2010.0,39.5,51.4,361.955,5.7,95.0,83.0,24.0,96.0,95.0,7.85,5642.0,1.99,8.0,7.8,8.9,0.0,1.0,60.2,8.637993891561942,0.688134638736401,5.891519894706453
Botswana,Africa,2011.0,41.1,51.9,336.393,6.24,95.0,84.0,24.0,96.0,95.0,7.61,5899.0,2.02,7.7,7.4,8.9,0.0,1.0,61.9,8.682538124003075,0.7030975114131134,5.818280119321055
Botswana,Africa,2012.0,40.2,50.8,310.831,5.46,95.0,83.0,24.0,96.0,95.0,6.75,6089.0,2.04,7.3,7.0,9.0,0.0,1.0,63.5,8.714239143608575,0.712949807856125,5.739249356119273
Botswana,Africa,2013.0,39.4,49.6,290.0855,5.07,95.0,83.0,24.0,96.0,95.0,6.07,6705.0,2.06,7.0,6.7,9.1,0.0,1.0,65.0,8.81060879571578,0.7227059828014898,5.670175707113614
Botswana,Africa,2014.0,40.1,50.2,269.3405,6.04,95.0,85.0,24.0,96.0,95.0,5.9,6896.0,2.09,6.7,6.4,9.2,0.0,1.0,66.3,8.83869681234353,0.7371640659767196,5.595976378409866
Botswana,Africa,2015.0,39.6,49.7,248.595,6.14,95.0,80.0,24.0,96.0,95.0,5.81,6403.0,2.12,6.4,6.1,9.2,0.0,1.0,67.3,8.764521909518802,0.7514160886839212,5.515825066243617
Brazil,South America,2000.0,30.4,34.7,186.4955,7.3,94.0,95.0,25.0,99.0,98.0,0.24,6788.0,174.79,3.4,3.4,5.6,0.0,1.0,70.1,8.822911626354117,5.163585253346995,5.228407110106442
Brazil,South America,2001.0,28.5,32.5,182.1315,7.18,91.0,95.0,25.0,99.0,98.0,0.25,6789.0,177.2,3.4,3.4,5.8,0.0,1.0,70.5,8.823058934301647,5.177279038170981,5.204728953652011
Brazil,South America,2002.0,26.8,30.4,177.768,7.02,92.0,80.0,25.0,99.0,99.0,0.25,6905.0,179.54,3.3,3.3,6.0,0.0,1.0,70.8,8.840001065843392,5.190398024328542,5.180479329379097
Brazil,South America,2003.0,25.1,28.4,174.611,6.84,97.0,74.0,25.0,99.0,99.0,0.25,6896.0,181.81,3.3,3.3,6.2,0.0,1.0,71.2,8.83869681234353,5.202962185731182,5.162560642566488
Brazil,South America,2004.0,23.5,26.5,171.4535,6.7,96.0,68.0,25.0,99.0,99.0,0.25,7206.0,184.01,3.2,3.2,6.2,0.0,1.0,71.5,8.882669291308039,5.214990103958283,5.144312092815467
Brazil,South America,2005.0,22.0,24.8,168.2965,6.76,98.0,61.0,25.0,99.0,99.0,0.25,7352.0,186.13,3.2,3.1,6.3,0.0,1.0,71.9,8.902727664035522,5.226445354310242,5.12572730478325
Brazil,South America,2006.0,20.7,23.2,165.1395,6.93,99.0,55.0,25.0,99.0,99.0,0.25,7561.0,188.17,3.1,3.1,6.4,0.0,1.0,72.3,8.93075873555827,5.237345809556553,5.106790571250655
Brazil,South America,2007.0,19.5,21.8,161.982,6.91,99.0,49.0,26.0,99.0,99.0,0.25,7937.0,190.13,3.1,3.0,6.5,0.0,1.0,72.6,8.979290649090876,5.247708048721495,5.087485217947976
Brazil,South America,2008.0,18.4,20.6,159.6305,6.83,96.0,56.0,26.0,99.0,99.0,0.25,8259.0,192.03,3.0,3.0,6.7,0.0,1.0,73.0,9.019058793810718,5.257651609822021,5.072861769514795
Brazil,South America,2009.0,17.5,19.5,157.279,6.95,99.0,55.0,26.0,99.0,99.0,0.25,8169.0,193.89,3.0,2.9,6.8,0.0,1.0,73.3,9.00810178134187,5.267290987942913,5.058021298291156
Brazil,South America,2010.0,16.7,18.6,154.9275,7.16,96.0,53.0,26.0,99.0,99.0,0.25,8702.0,195.71,2.9,2.9,6.9,0.0,1.0,73.6,9.071308163280625,5.276633971716878,5.04295726555838
Brazil,South America,2011.0,16.0,17.9,152.5765,7.13,98.0,71.0,26.0,98.0,99.0,0.25,8966.0,197.51,2.9,2.8,7.1,0.0,1.0,73.9,9.101194924715385,5.285789215970766,5.027666109612775
Brazil,South America,2012.0,15.4,17.2,150.2245,7.12,96.0,70.0,26.0,96.0,95.0,0.24,9057.0,199.29,2.8,2.8,7.3,0.0,1.0,74.2,9.111293218374948,5.29476105034526,5.01213084187363
Brazil,South America,2013.0,14.9,16.7,148.2705,6.86,96.0,69.0,26.0,96.0,97.0,0.24,9248.0,201.04,2.8,2.7,7.4,0.0,1.0,74.5,9.13216259091216,5.303503893235336,4.999038308250593
Brazil,South America,2014.0,14.6,16.3,146.3165,6.91,96.0,89.0,26.0,96.0,93.0,0.24,9215.0,202.76,2.7,2.7,7.4,0.0,1.0,74.7,9.128587870103924,5.312023013604149,4.985772083621559
Brazil,South America,2015.0,14.2,15.9,144.3625,6.63,96.0,80.0,27.0,98.0,96.0,0.24,8814.0,204.47,2.7,2.6,7.6,0.0,1.0,75.0,9.084096645401932,5.3204212654549625,4.9723274974412055
Brunei Darussalam,Asia,2000.0,8.2,10.3,106.3215,0.35,99.0,95.0,25.0,99.0,99.0,0.1,34064.0,0.33,6.8,6.3,8.3,0.0,1.0,73.1,10.43599638713326,-1.1086626245216111,4.666467522657612
Brunei Darussalam,Asia,2001.0,8.0,10.1,104.114,0.44,99.0,95.0,25.0,99.0,97.0,0.1,34291.0,0.34,6.8,6.2,8.3,0.0,1.0,73.1,10.442638208053022,-1.0788096613719298,4.645486452649568
Brunei Darussalam,Asia,2002.0,7.9,9.8,101.907,0.12,99.0,96.0,26.0,99.0,94.0,0.1,34927.0,0.35,6.7,6.1,8.4,0.0,1.0,73.3,10.46101544805463,-1.0498221244986778,4.6240606326681215
Brunei Darussalam,Asia,2003.0,7.8,9.7,99.9145,0.11,99.0,96.0,26.0,99.0,92.0,0.1,35278.0,0.35,6.6,6.1,8.4,0.0,1.0,73.6,10.471014819171423,-1.0498221244986778,4.604314820267116
Brunei Darussalam,Asia,2004.0,7.7,9.6,97.9225,0.09,99.0,97.0,26.0,92.0,92.0,0.1,34850.0,0.36,6.5,6.0,8.4,0.0,1.0,73.8,10.45880841618867,-1.0216512475319814,4.584176349483856
Brunei Darussalam,Asia,2005.0,7.7,9.5,95.93,0.14,99.0,95.0,26.0,93.0,94.0,0.1,34441.0,0.37,6.4,5.9,8.5,0.0,1.0,74.0,10.447002994124777,-0.9942522733438669,4.563618758829857
Brunei Darussalam,Asia,2006.0,7.7,9.5,93.9375,0.63,99.0,94.0,26.0,94.0,97.0,0.1,35456.0,0.37,6.3,5.8,8.5,0.0,1.0,74.2,10.476047770106955,-0.9942522733438669,4.542629667513193
Brunei Darussalam,Asia,2007.0,7.7,9.5,91.9455,0.83,97.0,92.0,26.0,95.0,99.0,0.1,35065.0,0.37,6.2,5.7,8.6,0.0,1.0,74.4,10.46495876097101,-0.9942522733438669,4.5211960102116375
Brunei Darussalam,Asia,2008.0,7.7,9.5,91.9455,0.65,96.0,90.0,26.0,97.0,98.0,0.1,33981.0,0.38,6.1,5.6,8.7,0.0,1.0,74.5,10.433556823868823,-0.9675840262617056,4.5211960102116375
Brunei Darussalam,Asia,2009.0,7.8,9.6,91.9455,0.24,96.0,99.0,26.0,99.0,99.0,0.1,32992.0,0.38,6.0,5.5,8.7,0.0,1.0,74.6,10.404020386816686,-0.9675840262617056,4.5211960102116375
Brunei Darussalam,Asia,2010.0,7.9,9.7,91.9455,0.25,96.0,93.0,26.0,99.0,95.0,0.1,33437.0,0.39,5.9,5.4,8.8,0.0,1.0,74.7,10.417418350255533,-0.941608539858445,4.5211960102116375
Brunei Darussalam,Asia,2011.0,8.1,9.8,91.9455,0.91,93.0,93.0,27.0,96.0,97.0,0.1,34244.0,0.39,5.9,5.4,8.8,0.0,1.0,74.9,10.441266645862376,-0.941608539858445,4.5211960102116375
Brunei Darussalam,Asia,2012.0,8.2,10.0,91.9455,0.96,99.0,96.0,27.0,92.0,99.0,0.1,34097.0,0.4,5.8,5.3,8.9,0.0,1.0,75.0,10.436964682861856,-0.916290731874155,4.5211960102116375
Brunei Darussalam,Asia,2013.0,8.4,10.2,90.6615,0.69,98.0,92.0,27.0,99.0,99.0,0.1,32925.0,0.4,5.8,5.2,8.9,0.0,1.0,75.1,10.401987526611482,-0.916290731874155,4.507132790710046
Brunei Darussalam,Asia,2014.0,8.6,10.4,89.377,0.67,99.0,96.0,27.0,99.0,99.0,0.1,31679.0,0.41,5.7,5.2,9.0,0.0,1.0,75.2,10.36340927977359,-0.8915981192837836,4.492863378386174
Brunei Darussalam,Asia,2015.0,8.8,10.6,88.093,0.67,99.0,97.0,27.0,99.0,99.0,0.1,31164.0,0.41,5.7,5.1,9.0,0.0,1.0,75.3,10.34701886145075,-0.8915981192837836,4.478393074620819
Bulgaria,European Union,2000.0,14.4,17.5,161.911,10.26,94.0,83.0,25.0,94.0,93.0,0.02,3718.0,8.17,2.5,2.5,9.5,1.0,0.0,71.7,8.220941168281389,2.1004689088719113,5.087046801550356
Bulgaria,European Union,2001.0,13.8,16.7,158.938,11.07,93.0,85.0,25.0,94.0,94.0,0.02,3937.0,8.01,2.4,2.5,9.9,1.0,0.0,71.8,8.278174290943738,2.080690761080268,5.06851418906807
Bulgaria,European Union,2002.0,13.2,15.9,156.0455,10.8,88.0,79.0,25.0,94.0,93.0,0.02,4260.0,7.84,2.4,2.4,10.0,1.0,0.0,71.9,8.357024439263416,2.0592388343623163,5.05014763138975
Bulgaria,European Union,2003.0,12.5,15.1,153.633,10.92,96.0,89.0,26.0,96.0,96.0,0.02,4519.0,7.78,2.3,2.4,10.1,1.0,0.0,72.1,8.41604600941128,2.0515563381903004,5.034566641387959
Bulgaria,European Union,2004.0,11.8,14.2,154.1315,10.7,94.0,91.0,26.0,94.0,95.0,0.02,4850.0,7.72,2.3,2.3,10.1,1.0,0.0,72.6,8.48673398393153,2.0438143640366846,5.037806134155651
Bulgaria,European Union,2005.0,11.0,13.3,155.837,10.22,96.0,92.0,26.0,97.0,96.0,0.02,5231.0,7.66,2.2,2.3,10.2,1.0,0.0,72.6,8.562357743370612,2.0360119837525,5.048810589195584
Bulgaria,European Union,2006.0,10.3,12.4,156.0375,10.18,96.0,93.0,26.0,96.0,95.0,0.02,5629.0,7.6,2.2,2.2,10.4,1.0,0.0,72.6,8.635687085464026,2.028148247292285,5.050096362977169
Bulgaria,European Union,2007.0,9.9,11.8,151.67,10.66,95.0,94.0,26.0,95.0,95.0,0.02,6045.0,7.55,2.1,2.2,10.5,1.0,0.0,72.7,8.706986763048892,2.0215475632609334,5.021707108063305
Bulgaria,European Union,2008.0,9.5,11.4,148.4445,10.73,96.0,94.0,26.0,96.0,95.0,0.03,6460.0,7.49,2.1,2.1,10.5,1.0,0.0,73.0,8.773384596776648,2.0135687975291283,5.000211151011799
Bulgaria,European Union,2009.0,9.3,11.1,145.527,10.53,96.0,93.0,26.0,94.0,94.0,0.03,6289.0,7.44,2.0,2.1,10.6,1.0,0.0,73.4,8.746557354543503,2.0068708488450007,4.980361636406428
Bulgaria,European Union,2010.0,9.0,10.8,142.4175,9.82,95.0,96.0,26.0,94.0,94.0,0.03,6428.0,7.4,2.0,2.0,10.6,1.0,0.0,73.5,8.768418726857403,2.0014800002101243,4.9587628846855445
Bulgaria,European Union,2011.0,8.7,10.4,139.9065,9.88,96.0,94.0,26.0,95.0,95.0,0.03,6605.0,7.35,2.0,2.0,10.7,1.0,0.0,74.2,8.795582216956426,1.9947003132247452,4.94097434235052
Bulgaria,European Union,2012.0,8.2,9.8,135.0865,10.88,95.0,94.0,26.0,95.0,95.0,0.03,6694.0,7.31,1.9,1.9,10.8,1.0,0.0,74.3,8.808966881771273,1.9892432737616872,4.905915313992465
Bulgaria,European Union,2013.0,7.8,9.3,133.448,10.32,95.0,94.0,26.0,95.0,95.0,0.03,6693.0,7.27,1.9,1.9,10.9,1.0,0.0,74.9,8.808817483100642,1.9837562915454279,4.893711888851755
Bulgaria,European Union,2014.0,7.3,8.7,139.2615,10.3,95.0,89.0,26.0,88.0,88.0,0.03,6797.0,7.22,1.9,1.9,10.9,1.0,0.0,74.5,8.824236617346639,1.9768549529047348,4.936353460675694
Bulgaria,European Union,2015.0,6.9,8.2,136.0675,10.89,92.0,87.0,26.0,91.0,91.0,0.03,7075.0,7.18,1.9,1.8,11.8,1.0,0.0,74.6,8.864322722511439,1.9712993830601329,4.91315108613768
Burkina Faso,Africa,2000.0,90.9,178.9,328.765,4.51,86.0,31.0,21.0,45.0,45.0,0.89,440.0,11.61,11.4,11.1,1.2,0.0,1.0,50.5,6.0867747269123065,2.4518667957098,5.795343209827503
Burkina Faso,Africa,2001.0,89.3,174.9,325.735,5.53,86.0,31.0,21.0,62.0,62.0,0.83,456.0,11.94,11.2,1.8,1.3,0.0,1.0,50.9,6.1224928095143865,2.479894107964456,5.7860841673622305
Burkina Faso,Africa,2002.0,87.6,170.4,322.705,5.48,86.0,31.0,21.0,69.0,69.0,0.76,462.0,12.29,11.0,1.6,1.3,0.0,1.0,51.4,6.135564891081739,2.5087859235779435,5.776738593205002
Burkina Faso,Africa,2003.0,85.5,165.3,317.0825,5.57,86.0,31.0,21.0,83.0,79.0,0.67,484.0,12.65,1.7,1.3,1.3,0.0,1.0,52.0,6.182084906716632,2.5376572151735295,5.759161992383439
Burkina Faso,Africa,2004.0,83.3,159.5,311.4595,5.51,86.0,31.0,21.0,83.0,79.0,0.63,491.0,13.03,1.5,1.1,1.3,0.0,1.0,52.6,6.19644412779452,2.567254391136754,5.741269313723324
Burkina Faso,Africa,2005.0,80.8,153.1,305.8365,5.87,86.0,31.0,21.0,94.0,82.0,0.58,518.0,13.42,1.3,9.8,1.3,0.0,1.0,53.3,6.249975242259483,2.5967461315435356,5.723050645430444
Burkina Faso,Africa,2006.0,78.1,146.3,300.214,5.67,76.0,31.0,22.0,94.0,86.0,0.53,534.0,13.83,1.0,9.6,1.3,0.0,1.0,54.1,6.280395838960195,2.626840145676667,5.70449555368824
Burkina Faso,Africa,2007.0,75.4,139.5,294.591,5.55,89.0,31.0,22.0,93.0,89.0,0.46,540.0,14.25,9.8,9.3,1.3,0.0,1.0,54.8,6.29156913955832,2.6567569067146595,5.685587953663705
Burkina Faso,Africa,2008.0,72.7,132.9,290.0395,5.47,93.0,30.0,22.0,92.0,93.0,0.4,554.0,14.69,9.5,9.1,1.3,0.0,1.0,55.6,6.317164686747284,2.6871669901857858,5.670017120601754
Burkina Faso,Africa,2009.0,70.3,126.9,285.488,5.52,92.0,31.0,22.0,91.0,92.0,0.35,554.0,15.14,9.3,8.8,1.4,0.0,1.0,56.4,6.317164686747284,2.717340248009303,5.654199996689073
Burkina Faso,Africa,2010.0,68.1,121.5,280.9365,5.44,91.0,32.0,22.0,90.0,91.0,0.31,582.0,15.61,9.0,8.6,1.4,0.0,1.0,57.1,6.366470447731438,2.7479117345273405,5.638128665149037
Burkina Faso,Africa,2011.0,66.3,116.9,276.3855,5.32,91.0,28.0,22.0,90.0,91.0,0.28,603.0,16.08,8.8,8.4,1.4,0.0,1.0,57.8,6.401917196727186,2.77757626375082,5.621796630314825
Burkina Faso,Africa,2012.0,64.4,112.5,271.8335,5.57,90.0,34.0,22.0,90.0,90.0,0.25,623.0,16.57,8.6,8.1,1.4,0.0,1.0,58.4,6.434546518787453,2.8075938314384716,5.605189746513556
Burkina Faso,Africa,2013.0,62.7,108.3,267.2085,5.49,88.0,34.0,22.0,89.0,88.0,0.23,639.0,17.07,8.4,7.9,1.4,0.0,1.0,58.9,6.459904454377535,2.837322536806349,5.588029252533765
Burkina Faso,Africa,2014.0,61.2,104.5,262.583,6.93,91.0,17.0,22.0,91.0,91.0,0.2,647.0,17.59,8.2,7.7,1.4,0.0,1.0,59.5,6.472346294500901,2.8673305587494666,5.570567222530195
Burkina Faso,Africa,2015.0,59.6,100.9,257.958,7.03,91.0,50.0,22.0,91.0,91.0,0.16,653.0,18.11,8.0,7.5,1.4,0.0,1.0,59.9,6.481577129276431,2.896464271895322,5.552796780972099
Burundi,Africa,2000.0,94.7,154.5,355.0185,7.17,87.0,57.0,21.0,71.0,80.0,1.55,307.0,6.38,9.0,8.9,1.8,0.0,1.0,49.1,5.726847747587197,1.8531680973566984,5.872169900793653
Burundi,Africa,2001.0,91.9,149.4,355.612,6.62,87.0,57.0,21.0,72.0,81.0,1.41,306.0,6.53,8.8,8.8,1.9,0.0,1.0,49.9,5.723585101952381,1.8764069432883397,5.873840248852151
Burundi,Africa,2002.0,88.9,143.8,356.206,6.51,87.0,57.0,21.0,74.0,81.0,1.23,311.0,6.7,8.7,8.7,2.0,0.0,1.0,50.8,5.739792912179234,1.9021075263969205,5.875509215183094
Burundi,Africa,2003.0,85.7,138.1,353.027,6.37,87.0,57.0,21.0,75.0,82.0,1.09,298.0,6.91,8.5,8.5,2.1,0.0,1.0,51.7,5.697093486505405,1.9329696377795786,5.866544541260421
Burundi,Africa,2004.0,82.3,131.9,349.848,6.24,83.0,57.0,21.0,76.0,83.0,0.95,303.0,7.13,8.4,8.4,2.2,0.0,1.0,52.5,5.713732805509369,1.9643112344262046,5.857498774439821
Burundi,Africa,2005.0,78.4,124.9,346.6695,6.07,87.0,57.0,21.0,82.0,87.0,0.83,296.0,7.36,8.2,8.3,2.3,0.0,1.0,53.4,5.69035945432406,1.9960599327407849,5.848371876510832
Burundi,Africa,2006.0,74.4,117.6,343.491,4.99,92.0,57.0,21.0,88.0,92.0,0.74,302.0,7.61,8.1,8.2,2.4,0.0,1.0,54.2,5.71042701737487,2.0294631718735947,5.839160910445793
Burundi,Africa,2007.0,70.4,110.5,340.312,5.03,99.0,57.0,21.0,93.0,99.0,0.69,302.0,7.86,8.0,8.0,2.4,0.0,1.0,54.9,5.71042701737487,2.061786606441115,5.8298628438883675
Burundi,Africa,2008.0,66.5,103.6,333.529,4.8,92.0,57.0,21.0,89.0,92.0,0.61,306.0,8.13,7.9,7.9,2.5,0.0,1.0,55.7,5.723585101952381,2.0955609235597192,5.809729818096918
Burundi,Africa,2009.0,62.9,97.1,326.7455,4.49,94.0,57.0,21.0,96.0,94.0,0.59,308.0,8.4,7.8,7.8,2.6,0.0,1.0,56.5,5.730099782973574,2.128231705849268,5.789181580412557
Burundi,Africa,2010.0,59.4,91.0,319.9625,4.61,96.0,56.0,21.0,94.0,96.0,0.49,313.0,8.68,7.7,7.7,2.6,0.0,1.0,57.2,5.746203190540153,2.1610215286722587,5.768203801426781
Burundi,Africa,2011.0,56.3,85.5,313.1795,4.56,96.0,57.0,21.0,95.0,96.0,0.45,316.0,8.96,7.6,7.6,2.6,0.0,1.0,57.9,5.755742213586912,2.192770226986839,5.746776508590063
Burundi,Africa,2012.0,53.4,80.3,306.3965,4.33,96.0,59.0,21.0,96.0,96.0,0.4,319.0,9.25,7.5,7.5,2.7,0.0,1.0,58.6,5.765191102784844,2.224623551524334,5.724880014824692
Burundi,Africa,2013.0,50.7,75.5,302.3265,3.98,96.0,51.0,22.0,96.0,96.0,0.34,325.0,9.54,7.4,7.4,2.8,0.0,1.0,59.1,5.783825182329737,2.255493485460195,5.711507559207034
Burundi,Africa,2014.0,48.2,71.3,298.257,3.95,95.0,60.0,22.0,95.0,95.0,0.31,328.0,9.84,7.4,7.3,2.8,0.0,1.0,59.7,5.793013608384144,2.286455711064162,5.697955530945689
Burundi,Africa,2015.0,46.2,67.6,294.187,3.99,94.0,65.0,22.0,94.0,94.0,0.27,306.0,10.16,7.3,7.2,2.9,0.0,1.0,60.1,5.723585101952381,2.318458442150336,5.684215619563571
Cabo Verde,Africa,2000.0,31.1,38.1,157.104,3.49,66.0,96.0,23.0,90.0,90.0,0.39,1974.0,0.43,9.6,9.5,3.5,0.0,1.0,68.6,7.587817219993427,-0.843970070294529,5.0569080064269345
Cabo Verde,Africa,2001.0,28.4,34.4,149.3995,3.86,66.0,96.0,23.0,91.0,90.0,0.39,1983.0,0.44,9.4,9.3,3.7,0.0,1.0,69.1,7.592366128519796,-0.8209805520698302,5.006623925972902
Cabo Verde,Africa,2002.0,26.3,31.6,141.6955,3.87,40.0,96.0,24.0,92.0,91.0,0.39,2053.0,0.44,9.2,9.1,3.8,0.0,1.0,69.6,7.627057417018934,-0.8209805520698302,4.953680388958771
Cabo Verde,Africa,2003.0,24.8,29.8,140.524,4.21,66.0,96.0,24.0,93.0,92.0,0.39,2106.0,0.45,8.9,8.9,4.0,0.0,1.0,69.9,7.652545692693921,-0.7985076962177716,4.945378292691319
Cabo Verde,Africa,2004.0,24.0,28.6,139.353,4.25,91.0,96.0,24.0,94.0,93.0,0.38,2287.0,0.46,8.7,8.7,4.2,0.0,1.0,70.2,7.734996194022781,-0.7765287894989963,4.937010282221518
Cabo Verde,Africa,2005.0,23.5,28.1,138.181,4.32,93.0,96.0,24.0,95.0,95.0,0.36,2411.0,0.46,8.5,8.5,4.3,0.0,1.0,70.4,7.787796878181171,-0.7765287894989963,4.92856441997179
Cabo Verde,Africa,2006.0,23.4,27.9,137.01,4.36,95.0,96.0,24.0,97.0,96.0,0.3,2569.0,0.47,8.3,8.3,4.5,0.0,1.0,70.6,7.851271997109883,-0.7550225842780328,4.920053915865017
Cabo Verde,Africa,2007.0,23.3,27.8,135.8385,5.4,96.0,95.0,24.0,98.0,98.0,0.27,2922.0,0.48,8.1,8.0,4.6,0.0,1.0,70.7,7.980023592310645,-0.7339691750802004,4.911466680099243
